# Sensor type: Respeck
# Activity type: Climbing stairs
# Activity code: 12
# Subject id: s1912558
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664562986823,0.006591797,-0.93414307,0.28826904,-0.890625,-0.703125,-0.421875
1664562986884,-0.045898438,-0.96417236,0.32537842,-0.421875,1.703125,-1.71875
1664562986913,-0.03881836,-0.99786377,0.33514404,1.046875,-0.46875,-0.59375
1664562986943,0.015625,-0.96343994,0.2982788,-0.28125,2.1875,-1.1875
1664562987003,0.012939453,-0.93951416,0.28948975,0.28125,1.796875,-0.671875
1664562987018,0.014892578,-0.94610596,0.26116943,1.03125,-1.234375,0.25
1664562987063,0.039794922,-0.95562744,0.2892456,2.640625,-2.609375,1.578125
1664562987124,0.07324219,-0.9573364,0.3217163,1.375,-3.8125,3.546875
1664562987138,0.060546875,-0.95684814,0.3012085,4.15625,-5.609375,5.21875
1664562987183,0.035888672,-0.9390259,0.34661865,4.59375,-8.765625,6.203125
1664562987244,-0.092041016,-1.0064087,0.38250732,4.3125,-6.5,3.859375
1664562987257,-0.072265625,-1.02594,0.3739624,1.125,-4.484375,3.515625
1664562987302,-0.015625,-0.94854736,0.35394287,-0.6875,-3.703125,2.9375
1664562987334,-0.0637207,-0.9170532,0.36224365,0.21875,1.328125,1.6875
1664562987423,-0.045898438,-0.9487915,0.3522339,-0.703125,-2.46875,4.078125
1664562987425,-0.018310547,-0.93878174,0.37591553,-4.25,1.359375,1.703125
1664562987483,-0.05493164,-0.9414673,0.36419678,-4.0625,3.5625,0.921875
1664562987498,-9.765625E-4,-0.9468384,0.3463745,-4.1875,3.21875,1.984375
1664562987543,0.020996094,-0.9121704,0.3842163,-3.03125,4.84375,1.015625
1664562987572,0.0036621094,-0.91485596,0.3685913,-0.3125,2.3125,2.28125
1664562987633,-0.009765625,-0.8970337,0.38983154,2.546875,5.953125,0.34375
1664562987662,-0.0063476562,-0.91192627,0.42303467,4.203125,4.09375,0.5625
1664562987723,0.04638672,-0.9470825,0.39105225,0.921875,4.828125,0.25
1664562987738,0.0,-0.92144775,0.4628296,4.328125,7.140625,-0.40625
1664562987783,-0.004638672,-0.9463501,0.44818115,5.375,0.234375,0.171875
1664562987814,0.09741211,-0.94903564,0.35687256,7.09375,-0.359375,2.03125
1664562987857,0.06591797,-1.093811,0.32977295,-10.03125,-7.6875,2.046875
1664562987902,-0.064208984,-1.1765747,0.5062866,3.046875,2.625,0.21875
1664562987937,0.0061035156,-1.2468872,0.38153076,0.03125,6.109375,-3.9375
1664562987979,0.07348633,-1.2207642,0.31903076,-10.15625,7.59375,-1.71875
1664562988038,0.049316406,-0.9627075,0.24383545,-3.46875,8.8125,-1.671875
1664562988052,0.0703125,-0.9158325,0.04046631,-10.28125,7.03125,-3.84375
1664562988084,0.115722656,-0.99102783,0.15447998,-5.625,4.640625,-3.921875
1664562988143,0.07348633,-0.9102173,0.22894287,6.0625,-0.96875,-6.1875
1664562988205,-0.015136719,-0.97784424,0.18206787,6.03125,2.015625,-5.96875
1664562988207,-0.001953125,-0.9829712,0.17791748,3.625,0.5,-3.859375
1664562988279,-0.016357422,-0.92388916,0.22528076,9.515625,2.578125,-7.125
1664562988292,-0.020507812,-0.8867798,0.20477295,10.0,3.421875,-4.671875
1664562988324,0.04638672,-0.8616333,0.1515503,9.28125,2.25,-2.15625
1664562988384,0.043701172,-0.82891846,0.16351318,3.109375,3.421875,-2.828125
1664562988444,-0.07006836,-0.85821533,0.2255249,10.40625,1.28125,-3.421875
1664562988446,-0.046875,-0.913147,0.24310303,6.9375,-3.953125,-2.984375
1664562988518,-0.056152344,-0.9505005,0.24969482,5.703125,-7.6875,-2.84375
1664562988520,-0.051513672,-0.9085083,0.20037842,9.265625,-2.9375,-1.296875
1664562988564,-0.087646484,-1.0066528,0.23431396,1.15625,1.984375,-4.203125
1664562988624,-0.12841797,-0.9595337,0.2489624,3.25,-0.5,-3.609375
1664562988638,-0.13208008,-0.92266846,0.26556396,-1.796875,-3.234375,-3.90625
1664562988684,-0.15258789,-0.9817505,0.3053589,1.078125,-3.15625,-1.46875
1664562988743,-0.12060547,-0.960022,0.28900146,-1.015625,-3.65625,-2.03125
1664562988758,-0.09643555,-0.97857666,0.27459717,1.53125,-4.375,-1.734375
1664562988804,-0.12475586,-1.0320435,0.19793701,-5.8125,-3.953125,-0.28125
1664562988833,-0.008544922,-1.0178833,0.24871826,-6.171875,1.828125,3.390625
