# Sensor type: Thingy
# Activity type: Movement
# Activity code: 9
# Subject id: s1800825
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664378418098,-1.0107422,0.12597656,0.041015625,1.625,7.53125,-0.75,0.0,0.0,0.0
1664378418098,-1.0107422,0.12597656,0.041015625,1.625,7.53125,-0.75,0.0,0.0,0.0
1664378418138,-1.0361328,0.1484375,0.01171875,-3.78125,7.78125,-2.5625,-65.6875,3.0625,-152.625
1664378418138,-1.0361328,0.1484375,0.01171875,-3.78125,7.78125,-2.5625,-65.6875,3.0625,-152.625
1664378418178,-0.99121094,0.08496094,0.01171875,-2.6875,1.6875,-0.8125,0.0,0.0,0.0
1664378418178,-0.99121094,0.08496094,0.01171875,-2.6875,1.6875,-0.8125,0.0,0.0,0.0
1664378418217,-1.0498047,0.11425781,0.0029296875,2.0625,4.0,-1.84375,0.0,0.0,0.0
1664378418217,-1.0498047,0.11425781,0.0029296875,2.0625,4.0,-1.84375,0.0,0.0,0.0
1664378418258,-1.0068359,0.171875,-0.040039062,1.8125,-11.875,-1.40625,0.0,0.0,0.0
1664378418258,-1.0068359,0.171875,-0.040039062,1.8125,-11.875,-1.40625,0.0,0.0,0.0
1664378418298,-1.0380859,0.25878906,-0.12402344,-8.0,-0.15625,-1.09375,0.0,0.0,0.0
1664378418298,-1.0380859,0.25878906,-0.12402344,-8.0,-0.15625,-1.09375,0.0,0.0,0.0
1664378418338,-1.0390625,0.37597656,-0.15429688,-17.09375,-6.25,9.09375,0.0,0.0,0.0
1664378418338,-1.0390625,0.37597656,-0.15429688,-17.09375,-6.25,9.09375,0.0,0.0,0.0
1664378418398,-1.0263672,0.26953125,-0.0126953125,-5.0625,-25.0625,23.0,0.0,0.0,0.0
1664378418398,-1.0263672,0.26953125,-0.0126953125,-5.0625,-25.0625,23.0,0.0,0.0,0.0
1664378418418,-0.9785156,0.15820312,0.19042969,-15.75,-63.03125,26.40625,0.0,0.0,0.0
1664378418418,-0.9785156,0.15820312,0.19042969,-15.75,-63.03125,26.40625,0.0,0.0,0.0
1664378418458,-0.83496094,0.15722656,0.26757812,-79.25,-47.875,25.03125,0.0,0.0,0.0
1664378418459,-0.83496094,0.15722656,0.26757812,-79.25,-47.875,25.03125,0.0,0.0,0.0
1664378418497,-0.9355469,0.14746094,0.08984375,-118.0,57.46875,23.0625,0.0,0.0,0.0
1664378418498,-0.9355469,0.14746094,0.08984375,-118.0,57.46875,23.0625,0.0,0.0,0.0
1664378418537,-1.0136719,0.25097656,0.18261719,-37.3125,-4.625,35.21875,0.0,0.0,0.0
1664378418537,-1.0136719,0.25097656,0.18261719,-37.3125,-4.625,35.21875,0.0,0.0,0.0
1664378418577,-0.76953125,0.16210938,0.24511719,-72.53125,26.34375,15.0625,0.0,0.0,0.0
1664378418577,-0.76953125,0.16210938,0.24511719,-72.53125,26.34375,15.0625,0.0,0.0,0.0
1664378418617,-0.93359375,0.25195312,0.18066406,-125.5625,48.3125,-10.5625,0.0,0.0,0.0
1664378418617,-0.93359375,0.25195312,0.18066406,-125.5625,48.3125,-10.5625,0.0,0.0,0.0
1664378418658,-0.8515625,0.07714844,0.17773438,-109.25,10.875,-20.53125,-65.125,8.875,-150.0625
1664378418658,-0.8515625,0.07714844,0.17773438,-109.25,10.875,-20.53125,-65.125,8.875,-150.0625
1664378418697,-1.3544922,0.10839844,0.16210938,-93.53125,31.9375,-31.4375,0.0,0.0,0.0
1664378418697,-1.3544922,0.10839844,0.16210938,-93.53125,31.9375,-31.4375,0.0,0.0,0.0
1664378418737,-0.96484375,0.36035156,-0.083984375,-100.90625,-15.46875,-16.0,0.0,0.0,0.0
1664378418737,-0.96484375,0.36035156,-0.083984375,-100.90625,-15.46875,-16.0,0.0,0.0,0.0
1664378418777,-0.9863281,0.05078125,-0.083984375,-136.0625,35.65625,10.5625,0.0,0.0,0.0
1664378418777,-0.9863281,0.05078125,-0.083984375,-136.0625,35.65625,10.5625,0.0,0.0,0.0
1664378418818,-1.2021484,0.33789062,-0.115234375,-111.84375,-18.96875,11.71875,0.0,0.0,0.0
1664378418819,-1.2021484,0.33789062,-0.115234375,-111.84375,-18.96875,11.71875,0.0,0.0,0.0
1664378418859,-0.91503906,-0.15136719,-0.0146484375,-179.8125,24.5,16.03125,0.0,0.0,0.0
1664378418859,-0.91503906,-0.15136719,-0.0146484375,-179.8125,24.5,16.03125,0.0,0.0,0.0
1664378418898,-1.0722656,-0.064453125,-0.13476562,-195.625,30.40625,3.78125,0.0,0.0,0.0
1664378418898,-1.0722656,-0.064453125,-0.13476562,-195.625,30.40625,3.78125,0.0,0.0,0.0
1664378418937,-1.0654297,0.140625,-0.1484375,-153.9375,8.4375,19.71875,0.0,0.0,0.0
1664378418937,-1.0654297,0.140625,-0.1484375,-153.9375,8.4375,19.71875,0.0,0.0,0.0
1664378418978,-1.0146484,0.068359375,-0.0703125,-179.46875,-0.46875,32.40625,0.0,0.0,0.0
1664378418981,-1.0146484,0.068359375,-0.0703125,-179.46875,-0.46875,32.40625,0.0,0.0,0.0
1664378419018,-1.0458984,-0.11328125,-0.10449219,-186.96875,12.0,39.3125,0.0,0.0,0.0
1664378419019,-1.0458984,-0.11328125,-0.10449219,-186.96875,12.0,39.3125,0.0,0.0,0.0
1664378419058,-1.0087891,9.765625E-4,-0.20703125,-214.125,4.3125,47.0,0.0,0.0,0.0
1664378419058,-1.0087891,9.765625E-4,-0.20703125,-214.125,4.3125,47.0,0.0,0.0,0.0
1664378419098,-1.1708984,-0.059570312,-0.27441406,-226.28125,-4.75,55.28125,0.0,0.0,0.0
1664378419101,-1.1708984,-0.059570312,-0.27441406,-226.28125,-4.75,55.28125,0.0,0.0,0.0
1664378419159,-0.8544922,0.109375,-0.18652344,-227.0,-17.0,77.1875,-66.0,13.6875,-139.25
