# Sensor type: Thingy
# Activity type: Sitting
# Activity code: 0
# Subject id: s1800825
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664377573221,-0.040039062,0.20410156,0.9296875,0.125,-0.78125,-0.5,0.0,0.0,0.0
1664377573221,-0.040039062,0.20410156,0.9296875,0.125,-0.78125,-0.5,0.0,0.0,0.0
1664377573263,-0.0390625,0.20996094,0.9345703,0.4375,-0.03125,-0.375,0.0,0.0,0.0
1664377573265,-0.0390625,0.20996094,0.9345703,0.4375,-0.03125,-0.375,0.0,0.0,0.0
1664377573302,-0.028320312,0.2109375,0.92285156,0.125,-0.90625,-0.375,0.0,0.0,0.0
1664377573302,-0.028320312,0.2109375,0.92285156,0.125,-0.90625,-0.375,0.0,0.0,0.0
1664377573342,-0.029296875,0.20703125,0.9296875,0.25,-0.21875,-0.6875,0.0,0.0,0.0
1664377573342,-0.029296875,0.20703125,0.9296875,0.25,-0.21875,-0.6875,0.0,0.0,0.0
1664377573381,-0.02734375,0.20703125,0.9267578,-0.0625,-0.65625,-0.3125,0.0,0.0,0.0
1664377573381,-0.02734375,0.20703125,0.9267578,-0.0625,-0.65625,-0.3125,0.0,0.0,0.0
1664377573421,-0.033203125,0.20507812,0.94921875,0.125,-0.03125,-0.3125,0.0,0.0,0.0
1664377573422,-0.033203125,0.20507812,0.94921875,0.125,-0.03125,-0.3125,0.0,0.0,0.0
1664377573462,-0.03125,0.20703125,0.93652344,0.1875,-0.40625,-0.625,0.0,0.0,0.0
1664377573462,-0.03125,0.20703125,0.93652344,0.1875,-0.40625,-0.625,0.0,0.0,0.0
1664377573502,-0.034179688,0.21191406,0.9316406,0.1875,0.375,-0.6875,0.0,0.0,0.0
1664377573501,-0.034179688,0.21191406,0.9316406,0.1875,0.375,-0.6875,0.0,0.0,0.0
1664377573543,-0.029296875,0.22070312,0.92285156,-0.0625,-0.65625,0.0,0.0,0.0,0.0
1664377573544,-0.029296875,0.22070312,0.92285156,-0.0625,-0.65625,0.0,0.0,0.0,0.0
1664377573582,-0.029296875,0.21484375,0.921875,0.125,-0.09375,-0.375,0.0,0.0,0.0
