timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664366007546,-0.44824220000000004,-0.41699220000000004,0.7939453000000001,-0.40625,-0.4375,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007577,-0.453125,-0.41210938,0.80566406,0.125,0.0,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007607,-0.45800779999999996,-0.40527344,0.80371094,0.1875,-0.1875,0.875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007666,-0.45214844,-0.40820312,0.7949219,0.0,-0.5,0.9375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007697,-0.45800779999999996,-0.40722656,0.8017578000000001,-0.0625,-0.78125,0.8125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007728,-0.44433594,-0.40527344,0.79589844,-0.09375,-0.625,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007788,-0.44921875,-0.4013672,0.8066406,-0.28125,-0.5,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007818,-0.45117188,-0.40722656,0.79785156,-0.78125,0.0,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007847,-0.45019529999999996,-0.41308594,0.7988281,-0.21875,-0.5625,0.625,-56.875,-36.6875,-88.875,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007906,-0.45117188,-0.4091797,0.80371094,0.0625,-0.5,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007937,-0.453125,-0.40039062,0.80566406,-0.09375,-0.25,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366007967,-0.44824220000000004,-0.4033203,0.8105469,-0.15625,-0.5,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008026,-0.45117188,-0.41015625,0.7939453000000001,-0.15625,-0.3125,0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008057,-0.45703125,-0.40234375,0.81152344,-0.15625,-0.4375,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008088,-0.45214844,-0.40820312,0.8066406,-0.34375,-0.5,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008149,-0.45117188,-0.41210938,0.80859375,-0.28125,-0.1875,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008177,-0.453125,-0.40722656,0.80078125,-0.0625,-0.5,0.75,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008208,-0.45605470000000004,-0.39941406,0.8076171999999999,-0.28125,-0.78125,0.625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008268,-0.44921875,-0.4033203,0.7832031,-0.15625,0.125,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008296,-0.45214844,-0.40820312,0.79785156,-0.34375,-0.25,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008328,-0.45117188,-0.41113279999999996,0.8027344,-0.34375,-0.375,0.3125,-56.5625,-36.25,-90.625,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008386,-0.45410156,-0.40722656,0.80859375,-0.0625,-0.375,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008416,-0.45898438,-0.40429688,0.7988281,-0.28125,-0.375,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008450,-0.45800779999999996,-0.40234375,0.7939453000000001,-0.59375,-0.6875,0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008508,-0.45605470000000004,-0.40722656,0.7949219,-0.65625,-0.5,0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008536,-0.46777344,-0.39746094,0.7939453000000001,-0.15625,0.78125,0.875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008597,-0.453125,-0.40625,0.81347656,-0.15625,-0.625,1.09375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008627,-0.45019529999999996,-0.4091797,0.796875,-1.03125,0.0,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008656,-0.45605470000000004,-0.4033203,0.80078125,-0.65625,0.1875,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008687,-0.44335938,-0.41210938,0.78515625,-0.21875,-0.75,0.9375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008747,-0.44726562,-0.41015625,0.80859375,-0.34375,-0.90625,1.09375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008779,-0.45117188,-0.4013672,0.79003906,0.0,0.375,0.96875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008807,-0.46582029999999996,-0.40527344,0.80566406,-0.90625,1.875,0.8125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008867,-0.45800779999999996,-0.40527344,0.7988281,-0.21875,-0.125,1.21875,-57.125,-35.1875,-88.5625,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008896,-0.46777344,-0.421875,0.8125,-0.34375,-0.375,0.8125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366008927,-0.45898438,-0.41113279999999996,0.7998046999999999,-0.40625,-0.375,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
